scenario_id,scenario_label,scenario_note,subgroup_type,subgroup_value,wave_year,metric,estimate,std.error,ci_low,ci_high,effective_n,n,status,n_parent_missing
observed_only,Observed-parent sample only,Uses the observed parental-education data without filling missing parent values.,overall,all,2022,persistence_probability,0.6727056285464945,0.02348906340914194,0.6266679102339987,0.7187433468589903,399.05448625299556,776,ok,15
cell_mode_imputed,Wave x cohort x sex x urban mode imputation,"Fills missing parent education with the modal observed category inside the wave-by-demographic cell, falling back to the wave mode when needed.",overall,all,2010,rank_rank_slope,0.11581987825341826,0.027704730479622883,0.06146091301177457,0.17017884349506196,1031.7482149846082,1123,ok,210
cell_mode_imputed,Wave x cohort x sex x urban mode imputation,"Fills missing parent education with the modal observed category inside the wave-by-demographic cell, falling back to the wave mode when needed.",overall,all,2016,rank_rank_slope,0.2896798876131639,0.026525221536001866,0.23764049070317747,0.3417192845231503,914.0358775533712,1239,ok,54
cell_mode_imputed,Wave x cohort x sex x urban mode imputation,"Fills missing parent education with the modal observed category inside the wave-by-demographic cell, falling back to the wave mode when needed.",overall,all,2022,rank_rank_slope,0.2517989975238255,0.02903104306877057,0.19481177981530118,0.30878621523234984,404.63940778992605,791,ok,15
cell_mode_imputed,Wave x cohort x sex x urban mode imputation,"Fills missing parent education with the modal observed category inside the wave-by-demographic cell, falling back to the wave mode when needed.",overall,all,2010,upward_mobility_rate,0.30731508733200874,0.014363918824994007,0.2791623237581636,0.3354678509058539,1031.7482149846082,1123,ok,210
cell_mode_imputed,Wave x cohort x sex x urban mode imputation,"Fills missing parent education with the modal observed category inside the wave-by-demographic cell, falling back to the wave mode when needed.",overall,all,2010,downward_mobility_rate,0.2558649090771268,0.013584522999281652,0.2292397332513787,0.28249008490287486,1031.7482149846082,1123,ok,210
cell_mode_imputed,Wave x cohort x sex x urban mode imputation,"Fills missing parent education with the modal observed category inside the wave-by-demographic cell, falling back to the wave mode when needed.",overall,all,2010,persistence_probability,0.4368200035908645,0.015441447397094948,0.40655532282338863,0.46708468435834033,1031.7482149846082,1123,ok,210
cell_mode_imputed,Wave x cohort x sex x urban mode imputation,"Fills missing parent education with the modal observed category inside the wave-by-demographic cell, falling back to the wave mode when needed.",overall,all,2016,upward_mobility_rate,0.25173654508666005,0.014355515080123882,0.2236002525500956,0.27987283762322446,914.0358775533712,1239,ok,54
cell_mode_imputed,Wave x cohort x sex x urban mode imputation,"Fills missing parent education with the modal observed category inside the wave-by-demographic cell, falling back to the wave mode when needed.",overall,all,2016,downward_mobility_rate,0.19219079544336953,0.013032840173505107,0.16664689808703279,0.21773469279970628,914.0358775533712,1239,ok,54
cell_mode_imputed,Wave x cohort x sex x urban mode imputation,"Fills missing parent education with the modal observed category inside the wave-by-demographic cell, falling back to the wave mode when needed.",overall,all,2016,persistence_probability,0.5560726594699704,0.016433879430392453,0.5238628476601276,0.5882824712798133,914.0358775533712,1239,ok,54
cell_mode_imputed,Wave x cohort x sex x urban mode imputation,"Fills missing parent education with the modal observed category inside the wave-by-demographic cell, falling back to the wave mode when needed.",overall,all,2022,upward_mobility_rate,0.24522702098526708,0.02138741246054394,0.2033084628400978,0.28714557913043637,404.63940778992605,791,ok,15
cell_mode_imputed,Wave x cohort x sex x urban mode imputation,"Fills missing parent education with the modal observed category inside the wave-by-demographic cell, falling back to the wave mode when needed.",overall,all,2022,downward_mobility_rate,0.082151818010904,0.013650857314033081,0.05539662931730399,0.10890700670450401,404.63940778992605,791,ok,15
cell_mode_imputed,Wave x cohort x sex x urban mode imputation,"Fills missing parent education with the modal observed category inside the wave-by-demographic cell, falling back to the wave mode when needed.",overall,all,2022,persistence_probability,0.672621161003829,0.02332794469690384,0.6268992295645552,0.7183430924431027,404.63940778992605,791,ok,15
lower_bound_no_formal,All missing parents assigned no formal education,Mechanical lower bound that assigns every missing parent to the bottom of the education ladder.,overall,all,2010,rank_rank_slope,0.13483548046243476,0.026371030443863658,0.08309334464419724,0.1865776162806723,1031.7482149846082,1123,ok,210
lower_bound_no_formal,All missing parents assigned no formal education,Mechanical lower bound that assigns every missing parent to the bottom of the education ladder.,overall,all,2016,rank_rank_slope,0.3149804883018921,0.02595530274519747,0.2640592057164506,0.36590177088733367,914.0358775533712,1239,ok,54
lower_bound_no_formal,All missing parents assigned no formal education,Mechanical lower bound that assigns every missing parent to the bottom of the education ladder.,overall,all,2022,rank_rank_slope,0.24987761031861,0.028886497744881976,0.19317413149682408,0.3065810891403959,404.63940778992605,791,ok,15
lower_bound_no_formal,All missing parents assigned no formal education,Mechanical lower bound that assigns every missing parent to the bottom of the education ladder.,overall,all,2010,upward_mobility_rate,0.43072050035164205,0.015416070246754631,0.4005055578848635,0.46093544281842064,1031.7482149846082,1123,ok,210
lower_bound_no_formal,All missing parents assigned no formal education,Mechanical lower bound that assigns every missing parent to the bottom of the education ladder.,overall,all,2010,downward_mobility_rate,0.21390096729885402,0.012766097062571664,0.188879876833071,0.23892205776463704,1031.7482149846082,1123,ok,210
lower_bound_no_formal,All missing parents assigned no formal education,Mechanical lower bound that assigns every missing parent to the bottom of the education ladder.,overall,all,2010,persistence_probability,0.3553785323495039,0.014900852437833928,0.32617339823240354,0.38458366646660425,1031.7482149846082,1123,ok,210
lower_bound_no_formal,All missing parents assigned no formal education,Mechanical lower bound that assigns every missing parent to the bottom of the education ladder.,overall,all,2016,upward_mobility_rate,0.2878337271423427,0.014975451342198453,0.2584823818594017,0.31718507242528365,914.0358775533712,1239,ok,54
lower_bound_no_formal,All missing parents assigned no formal education,Mechanical lower bound that assigns every missing parent to the bottom of the education ladder.,overall,all,2016,downward_mobility_rate,0.1737634408530712,0.01253284839758423,0.14919950937010557,0.1983273723360368,914.0358775533712,1239,ok,54
lower_bound_no_formal,All missing parents assigned no formal education,Mechanical lower bound that assigns every missing parent to the bottom of the education ladder.,overall,all,2016,persistence_probability,0.5384028320045862,0.016489352954746822,0.5060842940849133,0.570721369924259,914.0358775533712,1239,ok,54
lower_bound_no_formal,All missing parents assigned no formal education,Mechanical lower bound that assigns every missing parent to the bottom of the education ladder.,overall,all,2022,upward_mobility_rate,0.25214372273359686,0.02158733662368255,0.20983332042903657,0.29445412503815716,404.63940778992605,791,ok,15
lower_bound_no_formal,All missing parents assigned no formal education,Mechanical lower bound that assigns every missing parent to the bottom of the education ladder.,overall,all,2022,downward_mobility_rate,0.0805701064125645,0.013530448431377712,0.054050914792387716,0.10708929803274128,404.63940778992605,791,ok,15
lower_bound_no_formal,All missing parents assigned no formal education,Mechanical lower bound that assigns every missing parent to the bottom of the education ladder.,overall,all,2022,persistence_probability,0.6672861708538387,0.02342380264553006,0.6213763612876257,0.7131959804200516,404.63940778992605,791,ok,15
upper_bound_tertiary,All missing parents assigned tertiary education,Mechanical upper bound that assigns every missing parent to the top of the education ladder.,overall,all,2010,rank_rank_slope,0.054169333468305166,0.026862230939777007,0.0014634217814061198,0.10687524515520422,1031.7482149846082,1123,ok,210
upper_bound_tertiary,All missing parents assigned tertiary education,Mechanical upper bound that assigns every missing parent to the top of the education ladder.,overall,all,2016,rank_rank_slope,0.2718105005013791,0.026820572921793986,0.21919165855368436,0.32442934244907384,914.0358775533712,1239,ok,54
upper_bound_tertiary,All missing parents assigned tertiary education,Mechanical upper bound that assigns every missing parent to the top of the education ladder.,overall,all,2022,rank_rank_slope,0.2498754594298974,0.029090819867536487,0.19277090134758343,0.3069800175122114,404.63940778992605,791,ok,15
upper_bound_tertiary,All missing parents assigned tertiary education,Mechanical upper bound that assigns every missing parent to the top of the education ladder.,overall,all,2010,upward_mobility_rate,0.25750399909570754,0.013612947995173218,0.23082311130175132,0.28418488688966376,1031.7482149846082,1123,ok,210
upper_bound_tertiary,All missing parents assigned tertiary education,Mechanical upper bound that assigns every missing parent to the top of the education ladder.,overall,all,2010,downward_mobility_rate,0.36204189358087474,0.014961964877316814,0.33271698128338056,0.3913668058783689,1031.7482149846082,1123,ok,210
upper_bound_tertiary,All missing parents assigned tertiary education,Mechanical upper bound that assigns every missing parent to the top of the education ladder.,overall,all,2010,persistence_probability,0.3804541073234178,0.015114751677932583,0.35082973839940357,0.410078476247432,1031.7482149846082,1123,ok,210
upper_bound_tertiary,All missing parents assigned tertiary education,Mechanical upper bound that assigns every missing parent to the top of the education ladder.,overall,all,2016,upward_mobility_rate,0.24469871410823174,0.014219827700838123,0.21682836394822402,0.27256906426823946,914.0358775533712,1239,ok,54
upper_bound_tertiary,All missing parents assigned tertiary education,Mechanical upper bound that assigns every missing parent to the top of the education ladder.,overall,all,2016,downward_mobility_rate,0.20636091951082475,0.013385778317422369,0.18012527610363974,0.23259656291800976,914.0358775533712,1239,ok,54
upper_bound_tertiary,All missing parents assigned tertiary education,Mechanical upper bound that assigns every missing parent to the top of the education ladder.,overall,all,2016,persistence_probability,0.5489403663809435,0.016458791509288206,0.5166817277936849,0.581199004968202,914.0358775533712,1239,ok,54
upper_bound_tertiary,All missing parents assigned tertiary education,Mechanical upper bound that assigns every missing parent to the top of the education ladder.,overall,all,2022,upward_mobility_rate,0.24408751291063807,0.021353764693414254,0.20223490317720316,0.285940122644073,404.63940778992605,791,ok,15
upper_bound_tertiary,All missing parents assigned tertiary education,Mechanical upper bound that assigns every missing parent to the top of the education ladder.,overall,all,2022,downward_mobility_rate,0.08326352046735767,0.013734585372744442,0.05634422779418794,0.11018281314052741,404.63940778992605,791,ok,15
upper_bound_tertiary,All missing parents assigned tertiary education,Mechanical upper bound that assigns every missing parent to the top of the education ladder.,overall,all,2022,persistence_probability,0.6726489666220042,0.02332743616097176,0.6269280318948423,0.7183699013491662,404.63940778992605,791,ok,15
