wave,var,label
2006,q601f_10,
2006,q601f_11,
2006,q601f_12,
2006,q601f_13,
2006,q601f_14,
2006,q601f_15,
2006,q601f_16,
2006,q601f_17,
2006,q601f_18,
2006,q601f_19,
2006,q601f_2,
2006,q601f_3,
2006,q601f_4,
2006,q601f_5,
2006,q601f_6,
2006,q601f_7,
2006,q601f_8,
2006,q601f_9,
2006,q602a_1,
2006,q602a_10,
2006,q602a_11,
2006,q602a_12,
2006,q602a_13,
2006,q602a_14,
2006,q602a_15,
2006,q602a_16,
2006,q602a_17,
2006,q602a_18,
2006,q602a_2,
2006,q602a_3,
2006,q602a_4,
2006,q602a_5,
2006,q602a_6,
2006,q602a_7,
2006,q602a_8,
2006,q602a_9,
2006,q602b1a,
2006,q602b1b,
2006,q602b1c,
2006,q602b1d,
2006,q602b1e,
2006,q602b1f,
2006,q602b1g,
2006,q602b1h,
2006,q602b1i,
2006,q602b1j,
2006,q602b1k,
2006,q602b1l,
2006,q602b1m,
2006,q602b1n,
2006,q602b2a,
2006,q602b2b,
2006,q602b2c,
2006,q602b2d,
2006,q602b2e,
2006,q602b2f,
2006,q602b2g,
2006,q602b2h,
2006,q602b2i,
2006,q602b2j,
2006,q602b2k,
2006,q602b2l,
2006,q602b2m,
2006,q602b2n,
2006,q602b3a1,
2006,q602b3a2,
2006,q602b3a3,
2006,q602b3a4,
2006,q602b3b1,
2006,q602b3b2,
2006,q602b3b3,
2006,q602b3b4,
2006,q602b3c1,
2006,q602b3c2,
2006,q602b3c3,
2006,q602b3c4,
2006,q602b3d1,
2006,q602b3d2,
2006,q602b3d3,
2006,q602b3d4,
2006,q602b3e1,
2006,q602b3e2,
2006,q602b3e3,
2006,q602b3e4,
2006,q602b3f1,
2006,q602b3f2,
2006,q602b3f3,
2006,q602b3f4,
2006,q602b3g1,
2006,q602b3g2,
2006,q602b3g3,
2006,q602b3g4,
2006,q602b3h1,
2006,q602b3h2,
2006,q602b3h3,
2006,q602b3h4,
2006,q602b3i1,
2006,q602b3i2,
2006,q602b3i3,
2006,q602b3i4,
2006,q602b3j1,
2006,q602b3j2,
2006,q602b3j3,
2006,q602b3j4,
2006,q602b3k1,
2006,q602b3k2,
2006,q602b3k3,
2006,q602b3k4,
2006,q602b3l1,
2006,q602b3l2,
2006,q602b3l3,
2006,q602b3l4,
2006,q602b3m1,
2006,q602b3m2,
2006,q602b3m3,
2006,q602b3m4,
2006,q602b3n1,
2006,q602b3n2,
2006,q602b3n3,
2006,q602b3n4,
2006,q602b4a,
2006,q602b4b,
2006,q602b4c,
2006,q602b4d,
2006,q602b4e,
2006,q602b4f,
2006,q602b4g,
2006,q602b4h,
2006,q602b4i,
2006,q602b4j,
2006,q602b4k,
2006,q602b4l,
2006,q602b4m,
2006,q602b4n,
2006,q602b5a,
2006,q602b5b,
2006,q602b5c,
2006,q602b5d,
2006,q602b5e,
2006,q602b5f,
2006,q602b5g,
2006,q602b5h,
2006,q602b5i,
2006,q602b5j,
2006,q602b5k,
2006,q602b5l,
2006,q602b5m,
2006,q602b5n,
2006,q602b_1,
2006,q602b_10,
2006,q602b_11,
2006,q602b_12,
2006,q602b_13,
2006,q602b_14,
2006,q602b_15,
2006,q602b_16,
2006,q602b_17,
2006,q602b_18,
2006,q602b_2,
2006,q602b_3,
2006,q602b_4,
2006,q602b_5,
2006,q602b_6,
2006,q602b_7,
2006,q602b_8,
2006,q602b_9,
2006,q602c_1,
2006,q602c_10,
2006,q602c_11,
2006,q602c_12,
2006,q602c_13,
2006,q602c_14,
2006,q602c_15,
2006,q602c_16,
2006,q602c_17,
2006,q602c_18,
2006,q602c_2,
2006,q602c_3,
2006,q602c_4,
2006,q602c_5,
2006,q602c_6,
2006,q602c_7,
2006,q602c_8,
2006,q602c_9,
2006,q602d_1,
2006,q602d_10,
2006,q602d_11,
2006,q602d_12,
2006,q602d_13,
2006,q602d_14,
2006,q602d_15,
2006,q602d_16,
2006,q602d_17,
2006,q602d_18,
2006,q602d_2,
2006,q602d_3,
2006,q602d_4,
2006,q602d_5,
2006,q602d_6,
2006,q602d_7,
2006,q602d_8,
2006,q602d_9,
2006,q602e_1,
2006,q602e_10,
2006,q602e_11,
2006,q602e_12,
2006,q602e_13,
2006,q602e_14,
2006,q602e_15,
2006,q602e_16,
2006,q602e_17,
2006,q602e_18,
2006,q602e_2,
2006,q602e_3,
2006,q602e_4,
2006,q602e_5,
2006,q602e_6,
2006,q602e_7,
2006,q602e_8,
2006,q602e_9,
2006,q602f_1,
2006,q602f_10,
2006,q602f_11,
2006,q602f_12,
2006,q602f_13,
2006,q602f_14,
2006,q602f_15,
2006,q602f_16,
2006,q602f_17,
2006,q602f_18,
2006,q602f_2,
2006,q602f_3,
2006,q602f_4,
2006,q602f_5,
2006,q602f_6,
2006,q602f_7,
2006,q602f_8,
2006,q602f_9,
2006,q602g_1,
2006,q602g_10,
2006,q602g_11,
2006,q602g_12,
2006,q602g_13,
2006,q602g_14,
2006,q602g_15,
2006,q602g_16,
2006,q602g_17,
2006,q602g_18,
2006,q602g_2,
2006,q602g_3,
2006,q602g_4,
2006,q602g_5,
2006,q602g_6,
2006,q602g_7,
2006,q602g_8,
2006,q602g_9,
2006,q602h_1,
2006,q602h_10,
2006,q602h_11,
2006,q602h_12,
2006,q602h_13,
2006,q602h_14,
2006,q602h_15,
2006,q602h_16,
2006,q602h_17,
2006,q602h_18,
2006,q602h_2,
2006,q602h_3,
2006,q602h_4,
2006,q602h_5,
2006,q602h_6,
2006,q602h_7,
2006,q602h_8,
2006,q602h_9,
2006,q602i_1,
2006,q602i_10,
2006,q602i_11,
2006,q602i_12,
2006,q602i_13,
2006,q602i_14,
2006,q602i_15,
2006,q602i_16,
2006,q602i_17,
2006,q602i_18,
2006,q602i_2,
2006,q602i_3,
2006,q602i_4,
2006,q602i_5,
2006,q602i_6,
2006,q602i_7,
2006,q602i_8,
2006,q602i_9,
2006,q602j_1,
2006,q602j_10,
2006,q602j_11,
2006,q602j_12,
2006,q602j_13,
2006,q602j_14,
2006,q602j_15,
2006,q602j_16,
2006,q602j_17,
2006,q602j_18,
2006,q602j_2,
2006,q602j_3,
2006,q602j_4,
2006,q602j_5,
2006,q602j_6,
2006,q602j_7,
2006,q602j_8,
2006,q602j_9,
2006,q602k_1,
2006,q602k_10,
2006,q602k_11,
2006,q602k_12,
2006,q602k_13,
2006,q602k_14,
2006,q602k_15,
2006,q602k_16,
2006,q602k_17,
2006,q602k_18,
2006,q602k_2,
2006,q602k_3,
2006,q602k_4,
2006,q602k_5,
2006,q602k_6,
2006,q602k_7,
2006,q602k_8,
2006,q602k_9,
2006,q602l_1,
2006,q602l_10,
2006,q602l_11,
2006,q602l_12,
2006,q602l_13,
2006,q602l_14,
2006,q602l_15,
2006,q602l_16,
2006,q602l_17,
2006,q602l_18,
2006,q602l_2,
2006,q602l_3,
2006,q602l_4,
2006,q602l_5,
2006,q602l_6,
2006,q602l_7,
2006,q602l_8,
2006,q602l_9,
2006,q602m_1,
2006,q602m_10,
2006,q602m_11,
2006,q602m_12,
2006,q602m_13,
2006,q602m_14,
2006,q602m_15,
2006,q602m_16,
2006,q602m_17,
2006,q602m_18,
2006,q602m_2,
2006,q602m_3,
2006,q602m_4,
2006,q602m_5,
2006,q602m_6,
2006,q602m_7,
2006,q602m_8,
2006,q602m_9,
2006,q602n_1,
2006,q602n_10,
2006,q602n_11,
2006,q602n_12,
2006,q602n_13,
2006,q602n_14,
2006,q602n_15,
2006,q602n_16,
2006,q602n_17,
2006,q602n_18,
2006,q602n_2,
2006,q602n_3,
2006,q602n_4,
2006,q602n_5,
2006,q602n_6,
2006,q602n_7,
2006,q602n_8,
2006,q602n_9,
2006,q603a,
2006,q603b,
2006,q603c,
2006,q603d,
2006,q603e,
2006,q603f,
2006,q603g,
2006,q603h,
2006,q603i,
2006,q603j,
2006,q603k,
2006,q603l,
2006,q603m,
2006,q603n,
2006,q604a1,
2006,q604a10,
2006,q604a11,
2006,q604a12,
2006,q604a13,
2006,q604a14,
2006,q604a15,
2006,q604a16,
2006,q604a17,
2006,q604a18,
2006,q604a2,
2006,q604a3,
2006,q604a4,
2006,q604a5,
2006,q604a6,
2006,q604a7,
2006,q604a8,
2006,q604a9,
2006,q604b,
2006,q60510_1,
2006,q60510_10,
2006,q60510_11,
2006,q60510_12,
2006,q60510_13,
2006,q60510_14,
2006,q60510_15,
2006,q60510_16,
2006,q60510_17,
2006,q60510_18,
2006,q60510_19,
2006,q60510_2,
2006,q60510_3,
2006,q60510_4,
2006,q60510_5,
2006,q60510_6,
2006,q60510_7,
2006,q60510_8,
2006,q60510_9,
2006,q60511_1,
2006,q60511_10,
2006,q60511_11,
2006,q60511_12,
2006,q60511_13,
2006,q60511_14,
2006,q60511_15,
2006,q60511_16,
2006,q60511_17,
2006,q60511_18,
2006,q60511_19,
2006,q60511_2,
2006,q60511_3,
2006,q60511_4,
2006,q60511_5,
2006,q60511_6,
2006,q60511_7,
2006,q60511_8,
2006,q60511_9,
2006,q6051_1,
2006,q6051_10,
2006,q6051_11,
2006,q6051_12,
2006,q6051_13,
2006,q6051_14,
2006,q6051_15,
2006,q6051_16,
2006,q6051_17,
2006,q6051_18,
2006,q6051_19,
2006,q6051_2,
2006,q6051_3,
2006,q6051_4,
2006,q6051_5,
2006,q6051_6,
2006,q6051_7,
2006,q6051_8,
2006,q6051_9,
2006,q6052_1,
2006,q6052_10,
2006,q6052_11,
2006,q6052_12,
2006,q6052_13,
2006,q6052_14,
2006,q6052_15,
2006,q6052_16,
2006,q6052_17,
2006,q6052_18,
2006,q6052_19,
2006,q6052_2,
2006,q6052_3,
2006,q6052_4,
2006,q6052_5,
2006,q6052_6,
2006,q6052_7,
2006,q6052_8,
2006,q6052_9,
2006,q6053_1,
2006,q6053_10,
2006,q6053_11,
2006,q6053_12,
2006,q6053_13,
2006,q6053_14,
2006,q6053_15,
2006,q6053_16,
2006,q6053_17,
2006,q6053_18,
2006,q6053_19,
2006,q6053_2,
2006,q6053_3,
2006,q6053_4,
2006,q6053_5,
2006,q6053_6,
2006,q6053_7,
2006,q6053_8,
2006,q6053_9,
2006,q6054_1,
2006,q6054_10,
2006,q6054_11,
2006,q6054_12,
2006,q6054_13,
2006,q6054_14,
2006,q6054_15,
2006,q6054_16,
2006,q6054_17,
2006,q6054_18,
2006,q6054_19,
2006,q6054_2,
2006,q6054_3,
2006,q6054_4,
2006,q6054_5,
2006,q6054_6,
2006,q6054_7,
2006,q6054_8,
2006,q6054_9,
2006,q6055_1,
2006,q6055_10,
2006,q6055_11,
2006,q6055_12,
2006,q6055_13,
2006,q6055_14,
2006,q6055_15,
2006,q6055_16,
2006,q6055_17,
2006,q6055_18,
2006,q6055_19,
2006,q6055_2,
2006,q6055_3,
2006,q6055_4,
2006,q6055_5,
2006,q6055_6,
2006,q6055_7,
2006,q6055_8,
2006,q6055_9,
2006,q6056_1,
2006,q6056_10,
2006,q6056_11,
2006,q6056_12,
2006,q6056_13,
2006,q6056_14,
2006,q6056_15,
2006,q6056_16,
2006,q6056_17,
2006,q6056_18,
2006,q6056_19,
2006,q6056_2,
2006,q6056_3,
2006,q6056_4,
2006,q6056_5,
2006,q6056_6,
2006,q6056_7,
2006,q6056_8,
2006,q6056_9,
2006,q6057_1,
2006,q6057_10,
2006,q6057_11,
2006,q6057_12,
2006,q6057_13,
2006,q6057_14,
2006,q6057_15,
2006,q6057_16,
2006,q6057_17,
2006,q6057_18,
2006,q6057_19,
2006,q6057_2,
2006,q6057_3,
2006,q6057_4,
2006,q6057_5,
2006,q6057_6,
2006,q6057_7,
2006,q6057_8,
2006,q6057_9,
2006,q6058_1,
2006,q6058_10,
2006,q6058_11,
2006,q6058_12,
2006,q6058_13,
2006,q6058_14,
2006,q6058_15,
2006,q6058_16,
2006,q6058_17,
2006,q6058_18,
2006,q6058_19,
2006,q6058_2,
2006,q6058_3,
2006,q6058_4,
2006,q6058_5,
2006,q6058_6,
2006,q6058_7,
2006,q6058_8,
2006,q6058_9,
2006,q6059_1,
2006,q6059_10,
2006,q6059_11,
2006,q6059_12,
2006,q6059_13,
2006,q6059_14,
2006,q6059_15,
2006,q6059_16,
2006,q6059_17,
2006,q6059_18,
2006,q6059_19,
2006,q6059_2,
2006,q6059_3,
2006,q6059_4,
2006,q6059_5,
2006,q6059_6,
2006,q6059_7,
2006,q6059_8,
2006,q6059_9,
2006,q606_1,
2006,q606_2,
2006,q606_3,
2006,q701,
2006,q702_1,
2006,q702_2,
2006,q702_3,
2006,q702_4,
2006,q702_5,
2006,q703_1,
2006,q703_2,
2006,q704_1,
2006,q704_2,
2006,q704_3,
2006,q704_4,
2006,q705,
2006,q706,
2006,q707,
2006,q708,
2006,q709a,
2006,q709b,
2006,q801a,
2006,q801b,
2006,q802a,
2006,q802b,
2006,q803a_1,
2006,q803a_2,
2006,q803a_3,
2006,q803a_4,
2006,q803a_5,
2006,q803a_6,
2006,q803a_7,
2006,q803b_1,
2006,q803b_2,
2006,q803b_3,
2006,q803b_4,
2006,q803b_5,
2006,q803b_6,
2006,q803b_7,
2006,region,
2006,relationheadB,
2006,respA,
2006,respB,
2006,serial,
2006,table1,
2006,table2_1,
2006,table2_2,
2006,table3_1,
2006,table3_2,
2006,tablec,
2006,tabled,
2006,tablee,
2006,tag1,
2006,tag2,
2006,weight_0,
2006,weight_1,
2006,weight_2,
2010,Adults_i,Number of adults in household
2010,Children,Number of children in household
2010,Females_,Number of female members in household
2010,Head_Of0,Q.104 Age of head of household
2010,Head_Of_,Q.102 Gender of head of household
2010,Locality,Locality - name of settlement/locality/town district
2010,Males_in,Number of male members in household
2010,Number_o,Respondents completing interview
2010,Region1,Region (1) about location of PSU in the country
2010,Region2,Region (2) about location of PSU in the country
2010,Resp1_in,
2010,Resp2_in,
2010,Select_0,Q.104 Age of selected respondent
2010,Select_r,Q.102 Gender of selected respondent
2010,SerialID,
2010,Size_of_,Number of members in household
2010,TOT_intd,
2010,XCweight,Federalist weight: Each country's weights add up to one
2010,a8,a8 - Seed address or follow up address
2010,age1824,
2010,age2534,
2010,age3544,
2010,age4554,
2010,age5564,
2010,age65,
2010,country,country - Country code{nonull}{noblanks}
2010,country0,Region
2010,country_,
2010,countryname,
2010,dater1,dater1 - Respondent 1: Date of visit
2010,dater2,dater2 - Respondent 2: Date of visit
2010,etimex,End-time of interview
2010,female,
2010,female1824,
2010,female2534,
2010,female3544,
2010,female4554,
2010,female5564,
2010,female65,
2010,hh,hh - HH IDENTIFIER
2010,male,
2010,male1824,
2010,male2534,
2010,male3544,
2010,male4554,
2010,male5564,
2010,male65,
2010,oneper,oneper - ONE PERSON OR TWO
2010,population18,
2010,psu,psu - PSU NUMBER
2010,q102_1,Gender of household members : Person 1
2010,q102_10,Gender of household members : Person 10
2010,q102_11,Gender of household members : Person 11
2010,q102_12,Gender of household members : Person 12
2010,q102_2,Gender of household members : Person 2
2010,q102_3,Gender of household members : Person 3
2010,q102_4,Gender of household members : Person 4
2010,q102_5,Gender of household members : Person 5
2010,q102_6,Gender of household members : Person 6
2010,q102_7,Gender of household members : Person 7
2010,q102_8,Gender of household members : Person 8
2010,q102_9,Gender of household members : Person 9
2010,q103_1,q103_1 - What is .....(1)'s relationship to the household head?
2010,q103_10,q103_10 - What is .....(10)'s relationship to the household head?
2010,q103_11,q103_11 - What is .....(11)'s relationship to the household head?
2010,q103_12,q103_12 - What is .....(12)'s relationship to the household head?
2010,q103_2,q103_2 - What is .....(2)'s relationship to the household head?
2010,q103_3,q103_3 - What is .....(3)'s relationship to the household head?
2010,q103_4,q103_4 - What is .....(4)'s relationship to the household head?
2010,q103_5,q103_5 - What is .....(5)'s relationship to the household head?
2010,q103_6,q103_6 - What is .....(6)'s relationship to the household head?
2010,q103_7,q103_7 - What is .....(7)'s relationship to the household head?
2010,q103_8,q103_8 - What is .....(8)'s relationship to the household head?
2010,q103_9,q103_9 - What is .....(9)'s relationship to the household head?
2010,q104a_1,q104_1 - How old was .....(1) at ..... last birthday? YEARS
2010,q104a_10,q104_10 - How old was .....(10) at ..... last birthday? YEARS
2010,q104a_11,q104_11 - How old was .....(11) at ..... last birthday? YEARS
2010,q104a_12,q104_12 - How old was .....(12) at ..... last birthday? YEARS
2010,q104a_2,q104_2 - How old was .....(2) at ..... last birthday? YEARS
2010,q104a_3,q104_3 - How old was .....(3) at ..... last birthday? YEARS
2010,q104a_4,q104_4 - How old was .....(4) at ..... last birthday? YEARS
2010,q104a_5,q104_5 - How old was .....(5) at ..... last birthday? YEARS
2010,q104a_6,q104_6 - How old was .....(6) at ..... last birthday? YEARS
2010,q104a_7,q104_7 - How old was .....(7) at ..... last birthday? YEARS
2010,q104a_8,q104_8 - How old was .....(8) at ..... last birthday? YEARS
2010,q104a_9,q104_9 - How old was .....(9) at ..... last birthday? YEARS
2010,q201,q201 - TYPE OF DWELLING
2010,q202,q202 - What's the type of ownership of this dwelling?
2010,q203_t1,q203 - How much is the monthly rental for this dwelling? LOCAL CURRENCY/MONTH
2010,q204,q204 - How did you obtain this dwelling?
2010,q205,q205 - Do you currently have a mortgage?
2010,q206,q206w - Which bank/building society is your mortgage with?
2010,q207,q207 - In what currency is your mortgage denominated?
2010,q208,q208 - What type of mortgage interest rate do you have?
2010,q209_t1,q209 - How much does your household pay for mortgage per month (include interest
2010,q210,Q.210 When did you take out your mortgage
2010,q211n_t2,q211n - How much did you borrow? CURRENCY OF MORTGAGE
2010,q212n_t2,q212n - What was your down payment? CURRENCY OF MORTGAGE
2010,q213,q213 - How long was your mortgage for when you first took it? YEARS
2010,q214,q214 - Is your monthly payment interest only or does it also include capital rep
2010,q215,q215 - Are you currently in arrears on this mortgage?
2010,q216_t1,"q216 - If your household had to rent a dwelling like this, how much would you ha"
2010,q217a,Q.2.17 Do you have access to .... in this dwelling?: a) Tap water
2010,q217b,Q.2.17 Do you have access to .... in this dwelling?: b) Electricity
2010,q217c,Q.2.17 Do you have access to .... in this dwelling?: c) Fixed telephone line
2010,q217d,Q.2.17 Do you have access to .... in this dwelling?: d) Central heating in your
2010,q217e,Q.2.17 Do you have access to .... in this dwelling?: e) Public (piped) heating
2010,q217f,Q.2.17 Do you have access to .... in this dwelling?: f) Pipeline gas
2010,q218a,Q.2.18 How satisfied are you with the quality of service?: a) Tap water
2010,q218b,Q.2.18 How satisfied are you with the quality of service?: b) Electricity
